time_s,Vout_V,iL_A,duty,Rload_ohm
0.117660,5.003817,1.009110,0.41994,5.00
0.117670,5.004674,1.007192,0.41946,5.00
0.117680,5.005424,1.004870,0.41929,5.00
0.117690,5.006058,1.002425,0.41930,5.00
0.117700,5.006583,1.000015,0.41940,5.00
0.117710,5.007022,0.997698,0.41951,5.00
0.117720,5.007356,0.995516,0.41966,5.00
0.117730,5.007593,0.993504,0.41982,5.00
0.117740,5.007742,0.991674,0.41998,5.00
0.117750,5.007723,0.990030,0.42013,5.00
0.117760,5.007293,0.988939,0.42072,5.00
0.117770,5.006834,0.988409,0.42106,5.00
0.117780,5.006365,0.988219,0.42125,5.00
0.117790,5.005897,0.988239,0.42135,5.00
0.117800,5.005488,0.988388,0.42140,5.00
0.117810,5.005282,0.988411,0.42117,5.00
0.117820,5.005074,0.988268,0.42106,5.00
0.117830,5.004860,0.988057,0.42101,5.00
0.117840,5.004637,0.987833,0.42099,5.00
0.117850,5.004196,0.987625,0.42099,5.00
0.117860,5.002929,0.988345,0.42206,5.00
0.117870,5.001736,0.990037,0.42257,5.00
0.117880,5.000644,0.992201,0.42276,5.00
0.117890,4.999666,0.994547,0.42277,5.00
0.117900,4.999155,0.996911,0.42269,5.00
0.117910,5.000117,0.997709,0.42078,5.00
0.117920,5.001057,0.996830,0.41979,5.00
0.117930,5.001922,0.995086,0.41933,5.00
0.117940,5.002689,0.992944,0.41916,5.00
0.117950,5.003288,0.990675,0.41917,5.00
0.117960,5.003546,0.988684,0.41956,5.00
0.117970,5.003722,0.987064,0.41984,5.00
0.117980,5.003831,0.985715,0.42004,5.00
0.117990,5.003883,0.984574,0.42020,5.00
0.118000,5.003593,0.983600,0.42033,5.00
0.118010,5.002117,0.984021,0.42192,5.00
0.118020,5.000716,0.985868,0.42270,5.00
0.118030,4.999432,0.988425,0.42303,5.00
0.118040,4.998285,0.991276,0.42309,5.00
0.118050,4.997428,0.994184,0.42301,5.00
0.118060,4.997286,0.996384,0.42210,5.00
0.118070,4.997223,0.997779,0.42156,5.00
0.118080,4.997208,0.998686,0.42123,5.00
0.118090,4.997227,0.999295,0.42103,5.00
0.118100,4.997066,0.999715,0.42091,5.00
0.118110,4.996139,1.000872,0.42184,5.00
0.118120,4.995297,1.002841,0.42227,5.00
0.118130,4.994563,1.005166,0.42241,5.00
0.118140,4.993944,1.007589,0.42239,5.00
0.118150,4.993545,1.009964,0.42228,5.00
0.118160,4.993665,1.011763,0.42160,5.00
0.118170,4.993848,1.012928,0.42118,5.00
0.118180,4.994070,1.013695,0.42093,5.00
0.118190,4.994317,1.014204,0.42077,5.00
0.118200,4.994721,1.014540,0.42067,5.00
0.118210,4.995678,1.014162,0.41990,5.00
0.118220,4.996588,1.013076,0.41953,5.00
0.118230,4.997430,1.011637,0.41939,5.00
0.118240,4.998195,1.010052,0.41937,5.00
0.118250,4.998714,1.008439,0.41943,5.00
0.118260,4.998511,1.007571,0.42036,5.00
0.118270,4.998294,1.007512,0.42086,5.00
0.118280,4.998088,1.007887,0.42112,5.00
0.118290,4.997908,1.008476,0.42123,5.00
0.118300,4.997839,1.009153,0.42126,5.00
0.118310,4.998109,1.009511,0.42086,5.00
0.118320,4.998381,1.009495,0.42064,5.00
0.118330,4.998644,1.009274,0.42052,5.00
0.118340,4.998892,1.008946,0.42048,5.00
0.118350,4.999085,1.008566,0.42047,5.00
0.118360,4.999114,1.008327,0.42066,5.00
0.118370,4.999137,1.008252,0.42077,5.00
0.118380,4.999159,1.008266,0.42083,5.00
0.118390,4.999183,1.008323,0.42086,5.00
0.118400,4.999511,1.008399,0.42087,5.00
0.118410,5.001009,1.007199,0.41935,5.00
0.118420,5.002400,1.004663,0.41864,5.00
0.118430,5.003644,1.001502,0.41838,5.00
0.118440,5.004727,0.998125,0.41837,5.00
0.118450,5.005304,0.994764,0.41850,5.00
0.118460,5.004395,0.993003,0.42043,5.00
0.118470,5.003465,0.992967,0.42147,5.00
0.118480,5.002570,0.993872,0.42200,5.00
0.118490,5.001738,0.995259,0.42223,5.00
0.118500,5.001285,0.996862,0.42229,5.00
0.118510,5.002086,0.997244,0.42073,5.00
