time_s,Vout_V,iL_A,duty,Rload_ohm
0.001150,5.007288,0.488257,0.41578,10.00
0.001160,5.006922,0.485292,0.41740,10.00
0.001170,5.006466,0.483790,0.41833,10.00
0.001180,5.005969,0.483151,0.41886,10.00
0.001190,5.005461,0.483019,0.41915,10.00
0.001200,5.004955,0.483185,0.41931,10.00
0.001210,5.004456,0.483532,0.41939,10.00
0.001220,5.003979,0.483986,0.41943,10.00
0.001230,5.003526,0.484498,0.41942,10.00
0.001240,5.003099,0.485036,0.41941,10.00
0.001250,5.002725,0.485584,0.41938,10.00
0.001260,5.002480,0.486018,0.41921,10.00
0.001270,5.002252,0.486324,0.41911,10.00
0.001280,5.002037,0.486562,0.41905,10.00
0.001290,5.001832,0.486763,0.41901,10.00
0.001300,5.001562,0.486946,0.41898,10.00
0.001310,5.001005,0.487444,0.41935,10.00
0.001320,5.000483,0.488277,0.41951,10.00
0.001330,5.000007,0.489268,0.41957,10.00
0.001340,4.999579,0.490314,0.41956,10.00
0.001350,4.999078,0.491357,0.41951,10.00
0.001360,4.998146,0.492888,0.42007,10.00
0.001370,4.997303,0.494912,0.42030,10.00
0.001380,4.996562,0.497132,0.42034,10.00
0.001390,4.995926,0.499374,0.42027,10.00
0.001400,4.995482,0.501545,0.42015,10.00
0.001410,4.995480,0.503214,0.41956,10.00
0.001420,4.995539,0.504339,0.41920,10.00
0.001430,4.995638,0.505120,0.41897,10.00
0.001440,4.995766,0.505675,0.41882,10.00
0.001450,4.995978,0.506078,0.41873,10.00
0.001460,4.996452,0.506102,0.41834,10.00
0.001470,4.996914,0.505763,0.41814,10.00
0.001480,4.997353,0.505228,0.41806,10.00
0.001490,4.997763,0.504597,0.41803,10.00
0.001500,4.998089,0.503928,0.41804,10.00
0.001510,4.998185,0.503473,0.41833,10.00
0.001520,4.998266,0.503260,0.41850,10.00
0.001530,4.998341,0.503181,0.41859,10.00
0.001540,4.998414,0.503171,0.41864,10.00
0.001550,4.998377,0.503193,0.41866,10.00
0.001560,4.997910,0.503697,0.41923,10.00
0.001570,4.997484,0.504694,0.41950,10.00
0.001580,4.997111,0.505916,0.41960,10.00
0.001590,4.996798,0.507210,0.41960,10.00
0.001600,4.996716,0.508488,0.41955,10.00
0.001610,4.997360,0.508975,0.41861,10.00
0.001620,4.997997,0.508611,0.41811,10.00
0.001630,4.998601,0.507792,0.41788,10.00
0.001640,4.999159,0.506746,0.41778,10.00
0.001650,4.999576,0.505610,0.41778,10.00
0.001660,4.999596,0.504833,0.41826,10.00
