time_s,Vout_V,iL_A,duty,Rload_ohm
0.015720,5.003215,0.490646,0.41866,10.00
0.015730,5.002619,0.490724,0.41922,10.00
0.015740,5.002044,0.491316,0.41950,10.00
0.015750,5.001490,0.492174,0.41962,10.00
0.015760,5.000912,0.493228,0.41974,10.00
0.015770,5.000389,0.494397,0.41976,10.00
0.015780,4.999922,0.495591,0.41972,10.00
0.015790,4.999511,0.496760,0.41966,10.00
0.015800,4.999024,0.497877,0.41959,10.00
0.015810,4.998081,0.499480,0.42016,10.00
0.015820,4.997231,0.501588,0.42039,10.00
0.015830,4.996486,0.503891,0.42043,10.00
0.015840,4.995851,0.506214,0.42036,10.00
0.015850,4.995442,0.508458,0.42023,10.00
0.015860,4.995604,0.510055,0.41947,10.00
0.015870,4.995818,0.510957,0.41903,10.00
0.015880,4.996060,0.511440,0.41876,10.00
0.015890,4.996315,0.511665,0.41861,10.00
0.015900,4.996715,0.511732,0.41853,10.00
0.015910,4.997658,0.511104,0.41777,10.00
0.015920,4.998548,0.509787,0.41741,10.00
0.015930,4.999365,0.508136,0.41728,10.00
0.015940,5.000098,0.506354,0.41727,10.00
0.015950,5.000576,0.504561,0.41734,10.00
0.015960,5.000302,0.503552,0.41831,10.00
0.015970,5.000008,0.503397,0.41884,10.00
0.015980,4.999723,0.503709,0.41911,10.00
0.015990,4.999460,0.504261,0.41924,10.00
0.016000,4.999471,0.504922,0.41928,10.00
0.016010,5.000465,0.504577,0.41804,10.00
0.016020,5.001407,0.503134,0.41743,10.00
0.016030,5.002262,0.501149,0.41717,10.00
0.016040,5.003017,0.498941,0.41712,10.00
0.016050,5.003506,0.496695,0.41717,10.00
0.016060,5.003268,0.495195,0.41810,10.00
0.016070,5.002987,0.494529,0.41862,10.00
0.016080,5.002691,0.494345,0.41892,10.00
0.016090,5.002397,0.494437,0.41907,10.00
0.016100,5.002091,0.494682,0.41915,10.00
0.016110,5.001716,0.495101,0.41929,10.00
0.016120,5.001365,0.495656,0.41934,10.00
0.016130,5.001044,0.496270,0.41935,10.00
0.016140,5.000752,0.496900,0.41933,10.00
0.016150,5.000179,0.497520,0.41929,10.00
0.016160,4.998425,0.499439,0.42082,10.00
0.016170,4.996806,0.502713,0.42153,10.00
0.016180,4.995362,0.506600,0.42176,10.00
0.016190,4.994107,0.510678,0.42172,10.00
0.016200,4.993231,0.514705,0.42155,10.00
0.016210,4.993272,0.517745,0.42036,10.00
0.016220,4.993419,0.519694,0.41963,10.00
0.016230,4.993635,0.520964,0.41919,10.00
0.016240,4.993894,0.521804,0.41892,10.00
0.016250,4.994351,0.522362,0.41874,10.00
0.016260,4.995481,0.522011,0.41778,10.00
0.016270,4.996564,0.520775,0.41731,10.00
0.016280,4.997572,0.519087,0.41711,10.00
0.016290,4.998494,0.517200,0.41708,10.00
0.016300,4.999373,0.515259,0.41713,10.00
0.016310,5.000355,0.513137,0.41698,10.00
0.016320,5.001231,0.510870,0.41698,10.00
0.016330,5.002000,0.508600,0.41707,10.00
0.016340,5.002665,0.506407,0.41720,10.00
0.016350,5.003108,0.504335,0.41735,10.00
0.016360,5.002987,0.502921,0.41812,10.00
0.016370,5.002821,0.502197,0.41856,10.00
0.016380,5.002636,0.501879,0.41881,10.00
0.016390,5.002444,0.501797,0.41895,10.00
0.016400,5.002248,0.501851,0.41903,10.00
0.016410,5.002043,0.502001,0.41908,10.00
0.016420,5.001846,0.502212,0.41911,10.00
0.016430,5.001661,0.502453,0.41911,10.00
0.016440,5.001489,0.502708,0.41910,10.00
0.016450,5.001043,0.502964,0.41909,10.00
0.016460,4.999501,0.504430,0.42051,10.00
0.016470,4.998070,0.507157,0.42118,10.00
0.016480,4.996787,0.510470,0.42141,10.00
0.016490,4.995666,0.513979,0.42140,10.00
0.016500,4.994974,0.517463,0.42126,10.00
0.016510,4.995471,0.519673,0.41972,10.00
0.016520,4.996026,0.520493,0.41885,10.00
0.016530,4.996592,0.520519,0.41838,10.00
0.016540,4.997144,0.520100,0.41814,10.00
0.016550,4.997716,0.519444,0.41803,10.00
0.016560,4.998445,0.518460,0.41775,10.00
0.016570,4.999117,0.517210,0.41764,10.00
0.016580,4.999727,0.515851,0.41764,10.00
0.016590,5.000271,0.514476,0.41769,10.00
0.016600,5.000891,0.513134,0.41776,10.00
0.016610,5.001993,0.511260,0.41714,10.00
0.016620,5.002989,0.508841,0.41690,10.00
0.016630,5.003863,0.506214,0.41687,10.00
0.016640,5.004614,0.503571,0.41696,10.00
0.016650,5.005081,0.501020,0.41710,10.00
0.016660,5.004800,0.499309,0.41809,10.00
0.016670,5.004469,0.498499,0.41866,10.00
0.016680,5.004118,0.498217,0.41898,10.00
0.016690,5.003765,0.498241,0.41915,10.00
0.016700,5.003294,0.498442,0.41924,10.00
0.016710,5.002349,0.499275,0.41991,10.00
